embed_dim,num_heads,aggregate,config,metric,mean,sd,ci
128,4,mean,embeddim128_numheads4_aggregateMean,kld,82.07168731689453,3.8079127324654225,4.728148148204046
128,4,mean,embeddim128_numheads4_aggregateMean,loss,7.938405275344849,0.06593299183406649,0.08186662225422343
128,4,mean,embeddim128_numheads4_aggregateMean,mae,0.5685832142829895,0.010035743194373224,0.012461021019671687
128,4,mean,embeddim128_numheads4_aggregateMean,mse,0.8550533533096314,0.027019276828273618,0.03354886329516859
128,4,mean,embeddim128_numheads4_aggregateMean,nb,7.943210792541504,0.09257331136058103,0.11494494791094119
128,4,mean,embeddim128_numheads4_aggregateMean,num_epochs,152.4,13.520355024924456,16.787738077382087
128,4,mean,embeddim128_numheads4_aggregateMean,r2,0.7764003872871399,0.006794392227537701,0.008436352218609057
128,4,mean,embeddim128_numheads4_aggregateMean,rmse,0.9245971083641052,0.014728017233797333,0.018287248764130768
128,4,mean,embeddim128_numheads4_aggregateMean,time,47.804712793976066,3.747048744368877,4.652575525397463
128,8,concat,embeddim128_numheads8_aggregateConcat,best_epoch,134.8,39.864771415373745,49.498651463092195
128,8,concat,embeddim128_numheads8_aggregateConcat,kld,81.71144943237304,14.783332483094751,18.355931717735043
128,8,concat,embeddim128_numheads8_aggregateConcat,loss,7.95105676651001,0.042546613135193145,0.05282859777547283
128,8,concat,embeddim128_numheads8_aggregateConcat,mae,0.5858434081077576,0.04368119246571415,0.054237364083286874
128,8,concat,embeddim128_numheads8_aggregateConcat,mse,0.9069026947021485,0.1266034586429714,0.15719895664505706
128,8,concat,embeddim128_numheads8_aggregateConcat,nb,7.956006145477295,0.07249994717826808,0.09002057428293038
128,8,concat,embeddim128_numheads8_aggregateConcat,num_epochs,156.6,40.57462261069104,50.38004813639957
128,8,concat,embeddim128_numheads8_aggregateConcat,r2,0.762869393825531,0.03274567613058355,0.040659127148185994
128,8,concat,embeddim128_numheads8_aggregateConcat,rmse,0.9505920767784118,0.06400599395957168,0.07947393836884786
128,8,concat,embeddim128_numheads8_aggregateConcat,time,49.67263823449612,12.118082179884532,15.046586370037241
128,8,mean,embeddim128_numheads8_aggregateMean,best_epoch,125.4,20.59854363784003,25.576470050535207
128,8,mean,embeddim128_numheads8_aggregateMean,kld,88.92661743164062,4.885807484844351,6.066531256085721
128,8,mean,embeddim128_numheads8_aggregateMean,loss,7.927159786224365,0.06572112171548228,0.08160355075568206
128,8,mean,embeddim128_numheads8_aggregateMean,mae,0.5632533073425293,0.007269222910034439,0.00902593238230778
128,8,mean,embeddim128_numheads8_aggregateMean,mse,0.8462594509124756,0.0222471784128061,0.027623520496797352
128,8,mean,embeddim128_numheads8_aggregateMean,nb,7.927136993408203,0.07755452835435563,0.09629666575527668
128,8,mean,embeddim128_numheads8_aggregateMean,num_epochs,163.0,29.631064780058107,36.79182636584176
128,8,mean,embeddim128_numheads8_aggregateMean,r2,0.7787041306495667,0.005231445923000021,0.006495698061139005
128,8,mean,embeddim128_numheads8_aggregateMean,rmse,0.9198598861694336,0.012106317515083528,0.01503197860930291
128,8,mean,embeddim128_numheads8_aggregateMean,time,50.527657453715804,8.847168726778467,10.985210894075077
256,1,concat,embeddim256_numheads1_aggregateConcat,best_epoch,107.4,25.598828098176682,31.785143245712977
256,1,concat,embeddim256_numheads1_aggregateConcat,kld,65.05109024047852,6.832094066088724,8.483165234203954
256,1,concat,embeddim256_numheads1_aggregateConcat,loss,7.983670282363891,0.07504853855342448,0.09318506843959463
256,1,concat,embeddim256_numheads1_aggregateConcat,mae,0.6108078956604004,0.022318201731625187,0.027711707594807955
256,1,concat,embeddim256_numheads1_aggregateConcat,mse,0.9618082046508789,0.061498382539990765,0.07636032754766965
256,1,concat,embeddim256_numheads1_aggregateConcat,nb,7.987285709381103,0.09496737927376862,0.11791757584800085
256,1,concat,embeddim256_numheads1_aggregateConcat,num_epochs,145.6,20.391174561559716,25.318987334177173
256,1,concat,embeddim256_numheads1_aggregateConcat,r2,0.748524010181427,0.01505530266146471,0.018693627296802073
256,1,concat,embeddim256_numheads1_aggregateConcat,rmse,0.9803213000297546,0.031190930086826888,0.03872865495930362
256,1,concat,embeddim256_numheads1_aggregateConcat,time,63.122833392769095,8.834031937338755,10.968899415575802
256,1,mean,embeddim256_numheads1_aggregateMean,best_epoch,124.2,18.11629101113139,22.49434632950436
256,1,mean,embeddim256_numheads1_aggregateMean,kld,89.08719329833984,7.370966188500037,9.152263348237733
256,1,mean,embeddim256_numheads1_aggregateMean,loss,7.968710660934448,0.07270111011273066,0.09027035105642552
